0.000000000000000000e+00,3.000221024495751121e-01,2.210244957512319530e-05,2.210244957512319530e-05
1.000000000000000000e+00,2.999894309188836927e-01,-1.056908111629617508e-05,1.153336845882702022e-05
2.000000000000000000e+00,2.999935105309030070e-01,-6.489469096981892449e-06,5.043899361845127771e-06
3.000000000000000000e+00,3.000025455416927000e-01,2.545541692711150716e-06,7.589441054556278488e-06
4.000000000000000000e+00,2.999993057036959843e-01,-6.942963040046379319e-07,6.895144750551640556e-06
5.000000000000000000e+00,3.000159353274113871e-01,1.593532741139824793e-05,2.283047216194988849e-05
6.000000000000000000e+00,2.999961886247872189e-01,-3.811375212769974041e-06,1.901909694917991445e-05
7.000000000000000000e+00,3.000074624219364883e-01,7.462421936499374908e-06,2.648151888567928935e-05
8.000000000000000000e+00,3.000114681561827368e-01,1.146815618274787951e-05,3.794967506842716887e-05
9.000000000000000000e+00,3.000149265937088749e-01,1.492659370888604897e-05,5.287626877731321784e-05
1.000000000000000000e+01,2.999826700960991910e-01,-1.732990390079791609e-05,3.554636487651530175e-05
1.100000000000000000e+01,2.999967531375220542e-01,-3.246862477934708835e-06,3.229950239858059291e-05
1.200000000000000000e+01,3.000244700376503149e-01,2.447003765032595979e-05,5.676954004890655270e-05
1.300000000000000000e+01,2.999973074213797553e-01,-2.692578620233643250e-06,5.407696142867290945e-05
1.400000000000000000e+01,3.000037473214181016e-01,3.747321418112736779e-06,5.782428284678564623e-05
1.500000000000000000e+01,3.000064529153865234e-01,6.452915386534474607e-06,6.427719823332012083e-05
1.600000000000000000e+01,2.999938953470331904e-01,-6.104652966798518321e-06,5.817254526652160251e-05
1.700000000000000000e+01,3.000022902211795239e-01,2.290221179535034679e-06,6.046276644605663719e-05
1.800000000000000000e+01,2.999825922592448402e-01,-1.740774075514872621e-05,4.305502569090791098e-05
1.900000000000000000e+01,2.999957915033450995e-01,-4.208496654889426480e-06,3.884652903601848450e-05
2.000000000000000000e+01,3.000007953575800079e-01,7.953575800190293421e-07,3.964188661603751385e-05
2.100000000000000000e+01,3.000224751161171266e-01,2.247511611713770563e-05,6.211700273317521948e-05
2.200000000000000000e+01,2.999975995698018760e-01,-2.400430198112868396e-06,5.971657253506235108e-05
2.300000000000000000e+01,3.000160382243428070e-01,1.603822434281809706e-05,7.575479687788044814e-05
2.400000000000000000e+01,2.999967638285941929e-01,-3.236171405796017808e-06,7.251862547208443033e-05
2.500000000000000000e+01,3.000017298371396857e-01,1.729837139696766002e-06,7.424846261178119633e-05
2.600000000000000000e+01,2.999849086811163246e-01,-1.509131888366432861e-05,5.915714372811686772e-05
2.700000000000000000e+01,2.999733746828239789e-01,-2.662531717601002157e-05,3.253182655210684615e-05
2.800000000000000000e+01,2.999974637374945297e-01,-2.536262505459241368e-06,2.999556404664760478e-05
2.900000000000000000e+01,3.000151576315125412e-01,1.515763151255233865e-05,4.515319555919994343e-05
