2.266838108465015801e-05,4.277895615767911795e-05,-1.540791356341039914e-04,-1.284505193682882905e-04,1.359360028065975320e-04,7.263517352526526784e-05,-1.366222798775266253e-04,3.980449143918931079e-05,-8.864596198787134951e-05,-8.266515100110343513e-05
9.336582637016412230e-05,1.938737614653974692e-05,-1.482737687970935676e-04,-2.350518481829906494e-04,2.409075733661217820e-04,-1.163856029799398414e-04,-1.851882540711276108e-04,2.184207632125018637e-04,-2.537818890403276996e-05,-1.704151688738228445e-04
7.821675956431670129e-05,1.632595088363938268e-04,-2.309389197981970027e-04,-3.981552841822171181e-04,3.041753464499603616e-04,-1.280760837401320957e-04,-2.995047906899795526e-04,2.486782768566610843e-04,-6.505262136249109588e-05,-2.012093162013432572e-05
-1.662971919413208394e-05,4.894297221754188507e-05,-2.192418508064812675e-04,-3.954061899290278563e-04,1.672745587087600544e-04,-1.316745852535699179e-04,-2.344261695873988468e-04,8.572361325167286456e-05,-1.363698834573692266e-04,-3.245301219165111321e-05
-6.865393240671705671e-05,4.534447070410406282e-05,-4.077046997466698399e-04,-3.866190654957908038e-04,1.789716277004757897e-04,-1.116534382145654069e-04,-1.617909960621335790e-04,3.023406699390007680e-04,-1.849358576509702121e-04,-2.214737886968562225e-04
4.027873752070307463e-05,-1.431183782360845097e-04,-4.214594264606163912e-04,-3.989511460673075913e-04,1.920114377437433413e-04,-2.196107157882035230e-04,-1.219865046229442682e-04,2.018119277326740858e-04,-2.175535814529946889e-04,-1.816692972576669117e-04
1.364577897275253294e-04,-7.048320471081924183e-05,-3.448464672406533925e-04,-5.530302817014115828e-04,1.724084928553162172e-04,-2.168616215350142613e-04,-5.128905933743030388e-05,1.577589857744417061e-04,-2.954394857918082439e-04,-2.129668043029988569e-04
2.347783063266133206e-04,-2.905643564461060212e-04,-4.740853356323066273e-04,-4.803951081761463149e-04,1.105460577721495809e-04,-2.609145634932466410e-04,-7.468063934856967491e-05,2.962927039948817873e-04,-3.201972876089629423e-04,-2.539075523190437384e-04
3.288520687504156541e-04,-4.116950585715046422e-04,-5.053828426776385725e-04,-5.076833068601950072e-04,-4.353307786195441051e-05,-2.436028765074291268e-04,-1.376582210083060866e-04,4.387685138095259296e-04,-3.449550894261176406e-04,-2.786653541361984367e-04
4.034985633979495685e-04,-4.735574936546712785e-04,-3.694468398710410405e-04,-6.707867428594214759e-04,1.620156942522960053e-05,-1.729054312219151625e-04,-3.039070185230179338e-05,2.846893781754219381e-04,-3.608729361119721556e-04,-4.676861306414035460e-04
