1.568563050812670293e-05,-2.478816215495125222e-04,-1.495616459286657927e-04,-1.251857583673288837e-04,1.249518843133693748e-04,-2.015885316808541236e-04,-4.161134161632942200e-04,-1.662896260047528295e-04,2.362139079949490683e-04,1.568563050812670293e-05
-1.125461523512656528e-04,-3.242401990147773675e-04,8.665226206628327561e-05,-1.222513156343906730e-04,6.588592950514224507e-05,-3.908682145959336326e-04,-5.513610160959473783e-04,-2.253555808129799592e-04,1.110281496276201846e-04,-9.954166178662265507e-05
5.306925237913526650e-05,-6.824937845411807721e-04,-8.511968883069087437e-05,-3.375589745977118422e-04,-5.929982886218663866e-05,-5.160539729632625163e-04,-3.990150660104738482e-04,1.085832718196910913e-05,1.066531885367261179e-04,-3.636176731907576941e-04
3.633831102109474648e-05,-5.168783798107798528e-04,-9.691356645327438117e-05,-1.719435698673109228e-04,-4.447056040703155702e-05,-5.583929311038807403e-04,-5.272468488698662040e-04,-6.647819407435242352e-05,-1.431145915228717669e-04,-4.312572127136878042e-04
2.019537157514956658e-04,-7.666461598703777375e-04,-1.316500329081961079e-04,-2.970866544799166675e-04,-4.884552149792562373e-05,-8.821469268525048953e-04,-9.433602650331604240e-04,-1.088171522149706475e-04,2.250081320752915243e-05,-4.654350594717347658e-04
1.596147576108774419e-04,-1.045397760335357385e-03,-1.586216806328263158e-04,-4.253184373393090233e-04,-9.287375324511107713e-05,-9.594834481088264280e-04,-8.865471235283716757e-04,3.120390458494764086e-04,-3.656514160069797726e-05,-3.404831751583653910e-04
3.252301623412783612e-04,-1.122734281591679026e-03,6.993724097574603553e-06,-5.641088472394557981e-04,1.433401547498379912e-04,-7.232695401138773596e-04,-9.824855292528680492e-04,5.482529538444254769e-04,-5.525433989034603515e-05,-2.976560460103787591e-04
8.046247071692121718e-04,-1.141423479881327084e-03,1.726091288279755229e-04,-6.696031372317523891e-04,3.089555594802389105e-04,-7.425946706388489912e-04,-9.795510865199298384e-04,5.639385843525521799e-04,-2.324947341461997517e-04,-4.227991306229845038e-04
8.474518363171988037e-04,-1.269655262740719548e-03,-4.631265427878193675e-06,-6.547738687765973075e-04,1.937282671854895525e-04,-5.902487205533754611e-04,-1.104694171132535475e-03,5.048726295443250502e-04,-3.607265170055921075e-04,-5.001356518793060365e-04
1.187169575588091584e-03,-1.471243794421573780e-03,5.596566706569353240e-05,-1.105219611632313973e-03,9.778986146099307060e-05,-6.342769523005609145e-04,-8.684802631375864064e-04,1.057583765042689750e-03,-3.039133755008033592e-04,-7.480172734288185587e-04
1.100615361762656390e-03,-1.235029886426624712e-03,2.899401934106332450e-05,-1.222120854628497462e-03,-3.218255684723366709e-04,-6.783051840477463679e-04,-9.108192212782046304e-04,8.743567889566371786e-04,-6.769946750585429090e-05,-7.749889211534487666e-04
9.343257357579035603e-04,-1.192202757278638080e-03,1.030482105141526661e-05,-9.859069466335483936e-04,9.903062959211038525e-05,-6.826801451386404346e-04,-1.027720464274388228e-03,8.699818278657431118e-04,-3.317754789099893300e-04,-7.867827987760322734e-04
7.625537848609294104e-04,-1.189268314545699869e-03,-6.703170020490626605e-05,-8.202915419031474743e-04,6.086246200741093470e-04,-9.324479251982383194e-04,-1.061898311032435189e-03,6.927414336098893953e-04,-4.670230788426424882e-04,-7.299696572712435251e-04
6.165699252097009246e-04,-9.530544065507508007e-04,1.691822077900428023e-04,-9.590819518032942491e-04,5.099973197167276913e-04,-9.666257719562852809e-04,-8.962829063020342699e-04,7.932375005484444035e-04,-3.014076741122415689e-04,-7.723086154118617491e-04
4.883381423503085688e-04,-9.872322533087977622e-04,1.074443092676818272e-04,-9.162548226553076172e-04,3.437076937119748618e-04,-8.554201761150321366e-04,-1.056835805857918049e-03,7.168789230831795582e-04,-5.925712999872839986e-04,-8.340465139342227241e-04
4.110016210939870362e-04,-4.776382628267988005e-04,3.108573180241698194e-05,-9.935913439116290415e-04,3.167360459873446539e-04,-9.230597156379622466e-04,-8.206218978629689804e-04,6.578129682749524285e-04,-6.043651776098675054e-04,-1.250159930097517053e-03
6.472155290889361045e-04,-6.494102137237729505e-04,1.967011365328179013e-04,-9.979663050025231082e-04,2.974109154623730223e-04,-1.089349341642715076e-03,-8.796878526711961101e-04,6.391237699853043706e-04,-6.817016988661890381e-04,-1.261953807720100559e-03
6.202438813643058966e-04,-8.326371898098255215e-04,6.175573345972649574e-04,-8.935039076254532291e-04,4.223627997757423971e-04,-1.139983078019551985e-03,-7.140724479407951908e-04,4.728341439805515412e-04,-7.257299306133744915e-04,-1.266328768810994626e-03
