nShot,nGroverMax,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,65536,0.300172601079929,0.09549150281252627,0.003942649342761085,0.09549150281252627,0.21459592325185411,0.09549150281252627,0.010803527674673729,0.25604579422811063,0.09549150281252627,0.30281089705220526,0.09549150281252627,0.003942649342761085,0.2917691537567844,0.2888174218065281,3.544157743470368e-05,0.003942649342761085,0.003942649342761085,0.21459592325185411,0.034616160521684,0.2888174218065281,0.214441172950292,0.21460882094155748,0.20693400663206604,0.29999982786644674,0.21428646323300765,0.3932136859527386,0.3026376934102074,0.003942649342761085,0.29995663900344294,0.003942649342761085,0.28326639586204855,0.2917691537567844,0.214441172950292,0.2888174218065281,0.29999982786644674,0.09549150281252627,0.29999982786644674,0.20678130542151676,0.28898829404156917,0.214441172950292,0.14198789428857783,0.09549150281252627,0.25604579422811063,0.2915977972049276,0.13998716403676031,0.29999982786644674,0.29999982786644674,0.003942649342761085,0.44163689698474035,0.28846153441002925
2,32768,0.3000862109216618,0.29999982786644674,0.4905914853197297,0.3014116387246552,0.9356403162820194,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29299807362231817,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.4904972543949572,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29991345191735297,0.29999982786644674,0.14226213826702042,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.28880318380806064,0.29999982786644674,0.2888174218065281,0.29999982786644674,0.29999982786644674,0.26750789617808046,0.2888174218065281,0.44144969410809526,0.3113026294652942,0.29992784741525774,0.29999982786644674,0.29999982786644674,0.30281089705220526,0.29999982786644674,0.2915977972049276,0.29999982786644674,0.3113026294652942,0.3812926834072105,0.2971819067755203,0.036318553507667994,0.2994816788711085,0.29999982786644674,0.29999982786644674,0.4905914853197297,0.2915977972049276,0.214441172950292,0.214441172950292,0.47831410741992847
4,16384,0.29999982786644674,0.302825331954394,0.29998543138136763,0.2668267505758185,0.29999982786644674,0.29999982786644674,0.29998543138136763,0.29999982786644674,0.300172601079929,0.29999982786644674,0.29999982786644674,0.300172601079929,0.29998543138136763,0.29998543138136763,0.29998543138136763,0.29998543138136763,0.29991345191735297,0.29999982786644674,0.29998543138136763,0.29998543138136763,0.29999982786644674,0.29998543138136763,0.29999982786644674,0.30281089705220526,0.29998543138136763,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.28880318380806064,0.29998543138136763,0.29998543138136763,0.29991345191735297,0.29999982786644674,0.29999982786644674,0.29998543138136763,0.29998543138136763,0.2169738273352549,0.29999982786644674,0.29998543138136763,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29998543138136763,0.29998543138136763
8,8192,0.29999982786644674,0.29997103509369505,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.30001422454891824,0.29998543138136763,0.30001422454891824,0.29995663900344294,0.29997103509369505,0.29998543138136763,0.29995663900344294,0.29997103509369505,0.29999982786644674,0.29999982786644674,0.29995663900344294,0.29999982786644674,0.30001422454891824,0.29997103509369505,0.29999982786644674,0.29997103509369505,0.4905757801422959,0.29999982786644674,0.30002862142876774,0.29999982786644674,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29997103509369505,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.29998543138136763,0.29998543138136763,0.29999982786644674,0.29997103509369505,0.29998543138136763,0.29999982786644674,0.30281089705220526,0.302825331954394,0.29999982786644674
16,4096,0.29999982786644674,0.30001422454891824,0.29998543138136763,0.30001422454891824,0.29998543138136763,0.29998543138136763,0.29998543138136763,0.2998846615139902,0.29999982786644674,0.30001422454891824,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29998543138136763,0.30001422454891824,0.29999982786644674,0.29998543138136763,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.29997103509369505,0.30001422454891824,0.29998543138136763,0.29999982786644674,0.2998990566169258,0.29998543138136763,0.29998543138136763,0.30001422454891824,0.29999982786644674,0.29998543138136763,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.29998543138136763,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.30002862142876774,0.29999982786644674,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.29998543138136763,0.29998543138136763,0.30001422454891824,0.29999982786644674,0.29999982786644674
32,2048,0.29999982786644674,0.30001422454891824,0.30002862142876774,0.30001422454891824,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.30001422454891824,0.30001422454891824,0.3000862109216618,0.30001422454891824,0.29998543138136763,0.30007181325244237,0.29998543138136763,0.29998543138136763,0.29999982786644674,0.29998543138136763,0.29997103509369505,0.29998543138136763,0.30001422454891824,0.29997103509369505,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.29998543138136763,0.300057415780544,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.29998543138136763,0.29999982786644674,0.30001422454891824,0.29999982786644674,0.30001422454891824,0.29998543138136763,0.300043018505981,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.30001422454891824,0.29999982786644674,0.30001422454891824,0.29997103509369505,0.29998543138136763,0.29998543138136763,0.300057415780544,0.29998543138136763
64,1024,0.30002862142876774,0.29997103509369505,0.300043018505981,0.30001422454891824,0.30001422454891824,0.30002862142876774,0.29998543138136763,0.29998543138136763,0.30001422454891824,0.300043018505981,0.30001422454891824,0.29999982786644674,0.29999982786644674,0.2998846615139902,0.29999982786644674,0.29999982786644674,0.2999422431106257,0.30002862142876774,0.29997103509369505,0.29998543138136763,0.29997103509369505,0.2999422431106257,0.300043018505981,0.29999982786644674,0.30002862142876774,0.29998543138136763,0.30002862142876774,0.30001422454891824,0.29998543138136763,0.30001422454891824,0.29998543138136763,0.29987026660856064,0.29999982786644674,0.2999422431106257,0.29995663900344294,0.30001422454891824,0.29991345191735297,0.30001422454891824,0.30001422454891824,0.30001422454891824,0.2998558719006511,0.29999982786644674,0.30002862142876774,0.29999982786644674,0.30001422454891824,0.30001422454891824,0.29999982786644674,0.29998543138136763,0.30001422454891824,0.29998543138136763
128,512,0.30002862142876774,0.29997103509369505,0.29999982786644674,0.29998543138136763,0.30002862142876774,0.29999982786644674,0.29997103509369505,0.29997103509369505,0.29998543138136763,0.29998543138136763,0.29999982786644674,0.29998543138136763,0.300043018505981,0.29995663900344294,0.29995663900344294,0.30001422454891824,0.30010060878818856,0.29997103509369505,0.29998543138136763,0.30001422454891824,0.300057415780544,0.30001422454891824,0.29997103509369505,0.29999982786644674,0.29999982786644674,0.300043018505981,0.29995663900344294,0.29997103509369505,0.29999982786644674,0.29999982786644674,0.29999982786644674,0.300043018505981,0.29998543138136763,0.300043018505981,0.29998543138136763,0.29998543138136763,0.29999982786644674,0.30001422454891824,0.30002862142876774,0.300043018505981,0.30001422454891824,0.30001422454891824,0.2999422431106257,0.29995663900344294,0.2999422431106257,0.30002862142876774,0.30001422454891824,0.30007181325244237,0.29998543138136763,0.2999422431106257
256,256,0.29999982786644674,0.300043018505981,0.300043018505981,0.29997103509369505,0.30002862142876774,0.29992784741525774,0.2999422431106257,0.29997103509369505,0.29992784741525774,0.30001422454891824,0.29999982786644674,0.30001422454891824,0.29998543138136763,0.29992784741525774,0.29997103509369505,0.3000862109216618,0.29997103509369505,0.30002862142876774,0.30010060878818856,0.300057415780544,0.30007181325244237,0.30002862142876774,0.300043018505981,0.29998543138136763,0.2999422431106257,0.30001422454891824,0.30001422454891824,0.30010060878818856,0.300057415780544,0.30001422454891824,0.29999982786644674,0.29995663900344294,0.29997103509369505,0.30002862142876774,0.2999422431106257,0.3000862109216618,0.29997103509369505,0.29997103509369505,0.30001422454891824,0.30002862142876774,0.30002862142876774,0.29997103509369505,0.30002862142876774,0.29998543138136763,0.29998543138136763,0.3000862109216618,0.29995663900344294,0.29991345191735297,0.29997103509369505,0.2998990566169258
512,128,0.29997103509369505,0.29998543138136763,0.30002862142876774,0.30001422454891824,0.29991345191735297,0.30001422454891824,0.30002862142876774,0.29999982786644674,0.29995663900344294,0.29997103509369505,0.30002862142876774,0.29998543138136763,0.30002862142876774,0.30001422454891824,0.29997103509369505,0.29999982786644674,0.30001422454891824,0.3001150068520078,0.2998846615139902,0.2999422431106257,0.29999982786644674,0.29998543138136763,0.30002862142876774,0.30002862142876774,0.29999982786644674,0.3000862109216618,0.29998543138136763,0.30014380357146814,0.2999422431106257,0.300043018505981,0.3000862109216618,0.29998543138136763,0.29987026660856064,0.2998990566169258,0.29997103509369505,0.29997103509369505,0.2999422431106257,0.300043018505981,0.300057415780544,0.30001422454891824,0.29997103509369505,0.29995663900344294,0.29999982786644674,0.300057415780544,0.29997103509369505,0.29992784741525774,0.30002862142876774,0.300043018505981,0.30015820222708056,0.29995663900344294
