P,ErrMean,ErrMeanAbs,ErrStDev,ErrStDevDevSqrtN
0.001,-7.210600488725693e-05,7.210600488725693e-05,0.00022584731214147203,2.2584731214147203e-06
0.00599,-1.96778664433321e-06,1.96778664433321e-06,0.00022618491342379183,2.2618491342379182e-06
0.01098,-5.263696547649792e-06,5.263696547649792e-06,0.00024212567583906678,2.4212567583906678e-06
0.015969999999999998,-6.459610811600447e-06,6.459610811600447e-06,0.00025441793631284675,2.5441793631284677e-06
0.02096,-1.9527085102143846e-06,1.9527085102143846e-06,0.0002476739101075555,2.476739101075555e-06
0.02595,-1.0233032604009487e-05,1.0233032604009487e-05,0.0002401805828832694,2.401805828832694e-06
0.03094,8.384016057225646e-06,8.384016057225646e-06,0.0002484995297446567,2.484995297446567e-06
0.03593,4.098457237906662e-06,4.098457237906662e-06,0.00026626038725215763,2.6626038725215764e-06
0.04092,-9.466381699085332e-06,9.466381699085332e-06,0.00025573710349127747,2.5573710349127746e-06
0.04591,1.1725093573787418e-06,1.1725093573787418e-06,0.0002568352233011523,2.568352233011523e-06
0.0509,-1.4939596532907064e-06,1.4939596532907064e-06,0.000259947811399153,2.59947811399153e-06
0.055889999999999995,2.541112416929061e-06,2.541112416929061e-06,0.0002447259077080045,2.447259077080045e-06
0.06088,-1.118251695046464e-05,1.118251695046464e-05,0.00024864700340629375,2.4864700340629377e-06
0.06587,-3.327335909824795e-05,3.327335909824795e-05,0.00022071382306808413,2.2071382306808413e-06
0.07085999999999999,-4.799210128536455e-06,4.799210128536455e-06,0.00024726363637242346,2.4726363637242345e-06
0.07585,2.9984707728748893e-06,2.9984707728748893e-06,0.0002606943445530576,2.606943445530576e-06
0.08084,1.5336521284785813e-06,1.5336521284785813e-06,0.00026208955105086446,2.6208955105086448e-06
0.08582999999999999,-9.450776794866814e-06,9.450776794866814e-06,0.0002592068796226517,2.592068796226517e-06
0.09082,-6.922353809457887e-06,6.922353809457887e-06,0.0002646036544870986,2.646036544870986e-06
0.09580999999999999,3.0683606179914834e-07,3.0683606179914834e-07,0.000267678529108173,2.67678529108173e-06
0.1008,-1.9456851609634673e-07,1.9456851609634673e-07,0.0002648604095248615,2.6486040952486153e-06
0.10579,-4.5713863149596243e-08,4.5713863149596243e-08,0.0002646898370378541,2.646898370378541e-06
0.11077999999999999,-4.5228305826623405e-07,4.5228305826623405e-07,0.00026452862198590553,2.6452862198590553e-06
0.11577,8.009084067326408e-07,8.009084067326408e-07,0.0002666619526249984,2.666619526249984e-06
0.12075999999999999,5.219394695586748e-06,5.219394695586748e-06,0.000259565036328531,2.5956503632853104e-06
0.12574999999999997,8.014105917875242e-07,8.014105917875242e-07,0.0002617741556539294,2.617741556539294e-06
0.13074,-1.8354896824057666e-09,1.8354896824057666e-09,0.00025877380037445715,2.5877380037445713e-06
0.13573,-7.437812020725826e-06,7.437812020725826e-06,0.0002696466512753468,2.696466512753468e-06
0.14071999999999998,6.215767429325547e-06,6.215767429325547e-06,0.0002745128780638147,2.7451287806381474e-06
0.14570999999999998,-1.2004208003619976e-05,1.2004208003619976e-05,0.0002626762298483697,2.626762298483697e-06
0.1507,-6.716331993855817e-06,6.716331993855817e-06,0.000265832651901844,2.65832651901844e-06
0.15569,4.648727159551669e-07,4.648727159551669e-07,0.0002692018751183102,2.6920187511831016e-06
0.16068,-5.357071922108305e-06,5.357071922108305e-06,0.0002694551827409063,2.6945518274090634e-06
0.16566999999999998,3.957946604690668e-06,3.957946604690668e-06,0.00026620950340151996,2.6620950340151995e-06
0.17065999999999998,-6.160502741254531e-06,6.160502741254531e-06,0.0002663203405814063,2.6632034058140628e-06
0.17565,2.566404205526884e-06,2.566404205526884e-06,0.00026347376404887464,2.6347376404887466e-06
0.18064,-9.0565669194633e-07,9.0565669194633e-07,0.00027248204598722965,2.7248204598722965e-06
0.18563,-9.580110463566052e-06,9.580110463566052e-06,0.0002674896117259048,2.674896117259048e-06
0.19061999999999998,-1.1310923121264304e-06,1.1310923121264304e-06,0.00027080689364743037,2.7080689364743036e-06
0.19560999999999998,2.389830989941741e-06,2.389830989941741e-06,0.0002665409549022535,2.665409549022535e-06
0.2006,1.5318094447846763e-06,1.5318094447846763e-06,0.0002684516937066656,2.684516937066656e-06
0.20559,-8.34902733405465e-06,8.34902733405465e-06,0.00028047176236584934,2.8047176236584933e-06
0.21058,-1.7081624701690168e-06,1.7081624701690168e-06,0.00027281240450188456,2.7281240450188457e-06
0.21556999999999998,7.17058158552647e-07,7.17058158552647e-07,0.000274040510627042,2.7404051062704197e-06
0.22055999999999998,1.273539745223623e-07,1.273539745223623e-07,0.0002777184211562538,2.7771842115625377e-06
0.22554999999999997,4.002375872808398e-06,4.002375872808398e-06,0.000272181605739988,2.7218160573998796e-06
0.23054,-4.545579482738471e-06,4.545579482738471e-06,0.0002690275572349826,2.6902755723498257e-06
0.23553,-3.2681449136071933e-06,3.2681449136071933e-06,0.0002696197646440231,2.696197646440231e-06
0.24051999999999998,-1.1492041944296288e-06,1.1492041944296288e-06,0.00027482462037052503,2.7482462037052504e-06
0.24550999999999998,-1.3409121380395086e-05,1.3409121380395086e-05,0.0002738282335998128,2.7382823359981276e-06
0.25049999999999994,3.6560845798156355e-05,3.6560845798156355e-05,0.0002866491428630229,2.8664914286302288e-06
0.25549,9.821078025225571e-06,9.821078025225571e-06,0.00026984622813859565,2.6984622813859564e-06
0.26048,1.560733404825354e-06,1.560733404825354e-06,0.0002769646122012869,2.769646122012869e-06
0.26547,-1.3493377159639108e-06,1.3493377159639108e-06,0.00027292212432108174,2.7292212432108173e-06
0.27046,7.538546878113673e-06,7.538546878113673e-06,0.00027230061249590616,2.7230061249590617e-06
0.27545,-6.042829854081999e-07,6.042829854081999e-07,0.0002706743296395443,2.7067432963954426e-06
0.28043999999999997,1.1366019766165297e-05,1.1366019766165297e-05,0.00027494951782513734,2.7494951782513733e-06
0.28542999999999996,-7.66015475582587e-06,7.66015475582587e-06,0.0002675758424630484,2.675758424630484e-06
0.29041999999999996,-7.261864008771307e-06,7.261864008771307e-06,0.00027334337957147245,2.7334337957147245e-06
0.29541,3.579000006714167e-06,3.579000006714167e-06,0.0002782207974464362,2.7822079744643622e-06
0.3004,-3.3353316489038554e-06,3.3353316489038554e-06,0.0002780749920228023,2.780749920228023e-06
0.30539,-1.1484097205862798e-06,1.1484097205862798e-06,0.00027819871634969366,2.7819871634969364e-06
0.31038,-2.2535359679041562e-05,2.2535359679041562e-05,0.0002744981802538748,2.744981802538748e-06
0.31537,-7.326966122322842e-06,7.326966122322842e-06,0.00027820110738184913,2.7820110738184914e-06
0.32036,-4.9448971949930695e-06,4.9448971949930695e-06,0.0002695378233941496,2.695378233941496e-06
0.32535,5.066547554580192e-06,5.066547554580192e-06,0.0002738555408541512,2.7385554085415123e-06
