nGrover,r,AngleFrac,Bias,NumSamp,NumEnd
120.0,40.0,0.024390243902439025,0.0006956932951080463,10000.0,1.0
120.0,40.0,0.04878048780487805,0.0004399849067621076,10000.0,198.0
120.0,40.0,0.07317073170731708,0.00016600550916697076,10000.0,1928.0
120.0,40.0,0.0975609756097561,-0.00010901195575440334,10000.0,2382.0
120.0,40.0,0.12195121951219512,-0.00038432490872925115,10000.0,596.0
120.0,40.0,0.14634146341463417,-0.0006598382584754938,10000.0,45.0
120.0,40.0,0.17073170731707318,0.0005240319317093789,10000.0,5.0
120.0,40.0,0.1951219512195122,0.0006200502108668626,10000.0,38.0
120.0,40.0,0.21951219512195122,0.00034453536249506866,10000.0,107.0
120.0,40.0,0.24390243902439024,6.891966783739711e-05,10000.0,239.0
120.0,40.0,0.2682926829268293,-0.0002067967616608546,10000.0,186.0
120.0,40.0,0.29268292682926833,-0.0004826138145134218,10000.0,66.0
120.0,40.0,0.3170731707317073,-0.0007585313791939607,10000.0,7.0
120.0,40.0,0.34146341463414637,,10000.0,0.0
120.0,40.0,0.36585365853658536,,10000.0,0.0
120.0,40.0,0.3902439024390244,,10000.0,0.0
120.0,40.0,0.41463414634146345,,10000.0,0.0
120.0,40.0,0.43902439024390244,,10000.0,0.0
120.0,40.0,0.4634146341463415,,10000.0,0.0
120.0,40.0,0.4878048780487805,,10000.0,0.0
120.0,40.0,0.5121951219512195,,10000.0,0.0
120.0,40.0,0.5365853658536586,,10000.0,0.0
120.0,40.0,0.5609756097560976,,10000.0,0.0
120.0,40.0,0.5853658536585367,,10000.0,0.0
120.0,40.0,0.6097560975609756,,10000.0,0.0
120.0,40.0,0.6341463414634146,,10000.0,0.0
120.0,40.0,0.6585365853658537,,10000.0,0.0
120.0,40.0,0.6829268292682927,,10000.0,0.0
120.0,40.0,0.7073170731707318,,10000.0,0.0
120.0,40.0,0.7317073170731707,,10000.0,0.0
120.0,40.0,0.7560975609756098,,10000.0,0.0
120.0,40.0,0.7804878048780488,,10000.0,0.0
120.0,40.0,0.8048780487804879,,10000.0,0.0
120.0,40.0,0.8292682926829269,,10000.0,0.0
120.0,40.0,0.8536585365853658,,10000.0,0.0
120.0,40.0,0.8780487804878049,,10000.0,0.0
120.0,40.0,0.9024390243902439,,10000.0,0.0
120.0,40.0,0.926829268292683,,10000.0,0.0
120.0,40.0,0.951219512195122,,10000.0,0.0
120.0,40.0,0.975609756097561,,10000.0,0.0
121.0,40.0,0.024390243902439025,,10000.0,0.0
121.0,40.0,0.04878048780487805,,10000.0,0.0
121.0,40.0,0.07317073170731708,,10000.0,0.0
121.0,40.0,0.0975609756097561,,10000.0,0.0
121.0,40.0,0.12195121951219512,,10000.0,0.0
121.0,40.0,0.14634146341463417,,10000.0,0.0
121.0,40.0,0.17073170731707318,,10000.0,0.0
121.0,40.0,0.1951219512195122,,10000.0,0.0
121.0,40.0,0.21951219512195122,,10000.0,0.0
121.0,40.0,0.24390243902439024,,10000.0,0.0
121.0,40.0,0.2682926829268293,,10000.0,0.0
121.0,40.0,0.29268292682926833,,10000.0,0.0
121.0,40.0,0.3170731707317073,,10000.0,0.0
121.0,40.0,0.34146341463414637,,10000.0,0.0
121.0,40.0,0.36585365853658536,,10000.0,0.0
121.0,40.0,0.3902439024390244,,10000.0,0.0
121.0,40.0,0.41463414634146345,,10000.0,0.0
121.0,40.0,0.43902439024390244,,10000.0,0.0
121.0,40.0,0.4634146341463415,,10000.0,0.0
121.0,40.0,0.4878048780487805,,10000.0,0.0
121.0,40.0,0.5121951219512195,,10000.0,0.0
121.0,40.0,0.5365853658536586,,10000.0,0.0
121.0,40.0,0.5609756097560976,,10000.0,0.0
121.0,40.0,0.5853658536585367,,10000.0,0.0
121.0,40.0,0.6097560975609756,,10000.0,0.0
121.0,40.0,0.6341463414634146,,10000.0,0.0
121.0,40.0,0.6585365853658537,,10000.0,0.0
121.0,40.0,0.6829268292682927,,10000.0,0.0
121.0,40.0,0.7073170731707318,,10000.0,0.0
121.0,40.0,0.7317073170731707,,10000.0,0.0
121.0,40.0,0.7560975609756098,,10000.0,0.0
121.0,40.0,0.7804878048780488,,10000.0,0.0
121.0,40.0,0.8048780487804879,,10000.0,0.0
121.0,40.0,0.8292682926829269,,10000.0,0.0
121.0,40.0,0.8536585365853658,,10000.0,0.0
121.0,40.0,0.8780487804878049,,10000.0,0.0
121.0,40.0,0.9024390243902439,,10000.0,0.0
121.0,40.0,0.926829268292683,,10000.0,0.0
121.0,40.0,0.951219512195122,,10000.0,0.0
121.0,40.0,0.975609756097561,,10000.0,0.0
122.0,40.0,0.024390243902439025,,10000.0,0.0
122.0,40.0,0.04878048780487805,,10000.0,0.0
122.0,40.0,0.07317073170731708,,10000.0,0.0
122.0,40.0,0.0975609756097561,,10000.0,0.0
122.0,40.0,0.12195121951219512,,10000.0,0.0
122.0,40.0,0.14634146341463417,,10000.0,0.0
122.0,40.0,0.17073170731707318,,10000.0,0.0
122.0,40.0,0.1951219512195122,,10000.0,0.0
122.0,40.0,0.21951219512195122,,10000.0,0.0
122.0,40.0,0.24390243902439024,,10000.0,0.0
122.0,40.0,0.2682926829268293,,10000.0,0.0
122.0,40.0,0.29268292682926833,,10000.0,0.0
122.0,40.0,0.3170731707317073,,10000.0,0.0
122.0,40.0,0.34146341463414637,,10000.0,0.0
122.0,40.0,0.36585365853658536,,10000.0,0.0
122.0,40.0,0.3902439024390244,,10000.0,0.0
122.0,40.0,0.41463414634146345,,10000.0,0.0
122.0,40.0,0.43902439024390244,,10000.0,0.0
122.0,40.0,0.4634146341463415,,10000.0,0.0
122.0,40.0,0.4878048780487805,,10000.0,0.0
122.0,40.0,0.5121951219512195,,10000.0,0.0
122.0,40.0,0.5365853658536586,,10000.0,0.0
122.0,40.0,0.5609756097560976,,10000.0,0.0
122.0,40.0,0.5853658536585367,,10000.0,0.0
122.0,40.0,0.6097560975609756,,10000.0,0.0
122.0,40.0,0.6341463414634146,,10000.0,0.0
122.0,40.0,0.6585365853658537,,10000.0,0.0
122.0,40.0,0.6829268292682927,0.0007125678432556422,10000.0,15.0
122.0,40.0,0.7073170731707318,0.0004471464437470544,10000.0,89.0
122.0,40.0,0.7317073170731707,0.00018691863347881717,10000.0,274.0
122.0,40.0,0.7560975609756098,-6.817127045042267e-05,10000.0,343.0
122.0,40.0,0.7804878048780488,-0.00031807986407812787,10000.0,180.0
122.0,40.0,0.8048780487804879,-0.0005796942182679819,10000.0,35.0
122.0,40.0,0.8292682926829269,-0.0008177259004904883,10000.0,3.0
122.0,40.0,0.8536585365853658,0.0006465392145818344,10000.0,60.0
122.0,40.0,0.8780487804878049,0.00038243098168004174,10000.0,851.0
122.0,40.0,0.9024390243902439,0.00012421737332679104,10000.0,3328.0
122.0,40.0,0.926829268292683,-0.00012235929965230462,10000.0,3268.0
122.0,40.0,0.951219512195122,-0.00036080064998846457,10000.0,547.0
122.0,40.0,0.975609756097561,-0.0005955415627275779,10000.0,8.0
123.0,41.0,0.024390243902439025,0.0005892765617265816,10000.0,7.0
123.0,41.0,0.04878048780487805,0.00037177529232456725,10000.0,559.0
123.0,41.0,0.07317073170731708,0.00013486155527873947,10000.0,3440.0
123.0,41.0,0.0975609756097561,-0.00010959089334202075,10000.0,3904.0
123.0,41.0,0.12195121951219512,-0.00036363879534827856,10000.0,1065.0
123.0,41.0,0.14634146341463417,-0.0006279303229528608,10000.0,113.0
123.0,41.0,0.17073170731707318,-0.00011047320609064128,10000.0,9.0
123.0,41.0,0.1951219512195122,0.0005916929977944685,10000.0,50.0
123.0,41.0,0.21951219512195122,0.0003282178995917311,10000.0,233.0
